shipment_id,warehouse_id,date,destination_region,delivery_days,sla_days,weight_kg,carrier,status,on_time
SH000023,WH05,2023-12-25,Sudeste,7,5,2.72,Azul Cargo,Entregue,0
SH000024,WH02,2023-01-18,Sudeste,7,10,8.77,Total Express,Entregue,1
SH000025,WH01,2024-02-29,Sul,10,3,5.47,Jadlog,Em trânsito,0
SH000026,WH05,2023-08-04,Sudeste,5,7,3.98,Correios,Em trânsito,1
SH000027,WH03,2023-08-24,Nordeste,5,10,22.65,Correios,Entregue,1
SH000028,WH05,2023-10-03,Centro-Oeste,13,7,22.88,Total Express,Entregue,0
SH000029,WH08,2024-04-09,Nordeste,3,5,6.5,Total Express,Em trânsito,1
SH000030,WH04,2024-04-13,Norte,8,3,11.11,Jadlog,Entregue,0
SH000031,WH06,2023-08-30,Norte,11,3,15.22,Correios,Entregue,0
SH000032,WH08,2023-04-24,Nordeste,10,3,14.61,Jadlog,Entregue,0
SH000033,WH03,2023-03-07,Centro-Oeste,4,10,4.85,Total Express,Entregue,1
SH000034,WH10,2023-08-17,Sudeste,14,10,12.99,Jadlog,Entregue,0
SH000035,WH12,2023-10-26,Centro-Oeste,11,10,30.05,Correios,Entregue,0
SH000036,WH08,2024-02-23,Centro-Oeste,2,5,0.68,Azul Cargo,Entregue,1
SH000037,WH01,2023-08-20,Sudeste,13,7,0.91,Jadlog,Entregue,0
SH000038,WH10,2024-04-26,Sudeste,14,7,22.97,Azul Cargo,Entregue,0
SH000039,WH04,2024-03-15,Sudeste,13,3,11.07,Jadlog,Entregue,0
SH000040,WH06,2023-12-18,Sudeste,1,10,0.33,Total Express,Entregue,1
SH000041,WH11,2023-09-23,Sul,4,5,17.43,Total Express,Em trânsito,1
SH000042,WH04,2023-11-22,Nordeste,2,3,1.35,Jadlog,Entregue,1
SH000043,WH07,2024-04-05,Sul,10,5,21.96,Jadlog,Entregue,0
SH000044,WH04,2023-11-22,Nordeste,6,5,7.92,Azul Cargo,Entregue,0
SH000045,WH06,2024-06-28,Nordeste,13,3,4.13,Correios,Entregue,0
SH000046,WH10,2024-04-30,Nordeste,11,10,11.54,Total Express,Entregue,0
SH000047,WH04,2024-05-25,Centro-Oeste,11,5,2.29,Total Express,Em trânsito,0
SH000048,WH06,2023-08-07,Nordeste,10,3,9.26,Correios,Em trânsito,0
SH000049,WH08,2023-05-25,Sudeste,14,5,8.08,Correios,Entregue,0
SH000050,WH02,2023-01-14,Centro-Oeste,11,7,3.3,Azul Cargo,Entregue,0
SH000051,WH05,2024-02-16,Centro-Oeste,10,5,13.22,Correios,Em trânsito,0
SH000052,WH12,2023-03-13,Sul,7,3,5.18,Azul Cargo,Em trânsito,0
SH000053,WH07,2023-10-24,Norte,8,3,22.81,Azul Cargo,Em trânsito,0
SH000054,WH05,2023-07-12,Centro-Oeste,1,3,1.05,Jadlog,Entregue,1
SH000055,WH07,2023-02-23,Sudeste,11,10,17.64,Total Express,Atrasado,0
SH000056,WH03,2023-07-20,Centro-Oeste,9,10,6.91,Azul Cargo,Entregue,1
SH000057,WH11,2024-01-23,Sul,14,5,4.49,Jadlog,Entregue,0
SH000058,WH04,2023-11-21,Centro-Oeste,12,7,33.54,Jadlog,Atrasado,0
SH000059,WH05,2023-08-29,Norte,9,5,2.68,Total Express,Entregue,0
SH000060,WH12,2023-02-10,Nordeste,4,5,6.6,Jadlog,Entregue,1
SH000061,WH11,2024-05-20,Centro-Oeste,1,5,7.49,Total Express,Entregue,1
SH000062,WH03,2024-04-30,Sul,8,7,4.24,Azul Cargo,Entregue,0
SH000063,WH06,2023-08-03,Norte,3,10,1.12,Azul Cargo,Entregue,1
SH000064,WH10,2023-07-06,Nordeste,1,5,28.27,Total Express,Entregue,1
SH000065,WH12,2024-01-21,Centro-Oeste,3,5,26.93,Azul Cargo,Entregue,1
SH000066,WH07,2023-07-14,Sudeste,2,7,11.9,Total Express,Entregue,1
SH000067,WH06,2023-01-28,Centro-Oeste,10,5,4.71,Jadlog,Entregue,0
SH000068,WH06,2023-09-09,Sudeste,7,5,11.87,Correios,Entregue,0
SH000069,WH05,2023-04-26,Sul,12,10,40.03,Jadlog,Atrasado,0
SH000070,WH06,2023-07-20,Nordeste,13,5,25.79,Total Express,Entregue,0
SH000071,WH06,2023-08-12,Centro-Oeste,6,3,2.17,Jadlog,Entregue,0
SH000072,WH10,2023-06-29,Nordeste,9,7,20.33,Correios,Entregue,0
SH000073,WH08,2024-05-08,Sudeste,11,3,19.18,Total Express,Entregue,0
SH000074,WH01,2023-03-15,Norte,13,7,29.9,Azul Cargo,Em trânsito,0
SH000075,WH02,2024-05-11,Sul,2,5,0.58,Jadlog,Entregue,1
SH000076,WH06,2023-06-21,Centro-Oeste,11,7,17.45,Correios,Entregue,0
SH000077,WH06,2024-03-15,Norte,8,5,9.48,Correios,Entregue,0
SH000078,WH07,2023-05-28,Sul,3,10,9.27,Correios,Entregue,1
SH000079,WH01,2023-07-08,Sudeste,5,3,5.16,Azul Cargo,Entregue,0
SH000080,WH06,2024-06-04,Sul,11,5,18.49,Azul Cargo,Entregue,0
SH000081,WH08,2023-10-08,Nordeste,13,10,6.61,Correios,Entregue,0
SH000082,WH03,2023-09-22,Sudeste,9,5,5.32,Correios,Entregue,0
SH000083,WH04,2023-08-25,Sul,9,3,38.73,Azul Cargo,Entregue,0
SH000084,WH01,2024-02-01,Nordeste,1,7,7.46,Total Express,Atrasado,1
SH000085,WH03,2023-05-21,Nordeste,2,3,18.87,Azul Cargo,Entregue,1
SH000086,WH07,2023-08-03,Centro-Oeste,6,10,1.8,Jadlog,Entregue,1
SH000087,WH09,2023-10-10,Centro-Oeste,13,7,16.17,Azul Cargo,Em trânsito,0
SH000088,WH02,2024-02-19,Sul,1,7,13.34,Total Express,Entregue,1
SH000089,WH12,2023-03-05,Nordeste,2,5,8.58,Total Express,Em trânsito,1
SH000090,WH06,2023-11-08,Norte,10,3,1.77,Total Express,Entregue,0
SH000091,WH07,2023-10-03,Nordeste,8,10,1.54,Total Express,Entregue,1
SH000092,WH02,2023-04-03,Sudeste,6,7,13.53,Azul Cargo,Entregue,1
SH000093,WH08,2023-04-23,Sul,10,3,23.24,Total Express,Entregue,0
SH000094,WH02,2023-07-17,Sul,1,3,10.05,Azul Cargo,Entregue,1
SH000095,WH12,2023-03-10,Centro-Oeste,3,3,7.41,Total Express,Em trânsito,1
SH000096,WH10,2023-12-21,Nordeste,6,3,8.81,Total Express,Entregue,0
SH000097,WH05,2023-05-20,Centro-Oeste,1,5,2.04,Azul Cargo,Atrasado,1
SH000098,WH10,2024-04-12,Nordeste,7,5,0.64,Jadlog,Entregue,0
SH000099,WH10,2023-12-18,Sul,6,10,21.2,Total Express,Em trânsito,1
SH000100,WH06,2024-01-01,Sudeste,6,10,22.48,Jadlog,Em trânsito,1
SH000101,WH01,2024-03-21,Sudeste,10,10,16.79,Correios,Entregue,1
SH000102,WH07,2024-01-10,Sudeste,8,5,17.72,Total Express,Entregue,0
SH000103,WH06,2023-09-04,Sul,12,7,2.89,Total Express,Entregue,0
SH000104,WH04,2024-05-27,Centro-Oeste,1,3,1.38,Total Express,Entregue,1
SH000105,WH02,2023-09-01,Nordeste,1,5,2.09,Correios,Entregue,1
SH000106,WH06,2023-03-23,Centro-Oeste,7,5,12.22,Jadlog,Extraviado,0
SH000107,WH09,2023-04-16,Sul,11,5,6.08,Total Express,Em trânsito,0
SH000108,WH08,2023-04-16,Centro-Oeste,1,10,0.19,Azul Cargo,Entregue,1
SH000109,WH10,2024-05-07,Norte,9,10,36.06,Correios,Atrasado,1
SH000110,WH06,2023-11-22,Nordeste,10,10,3.14,Jadlog,Entregue,1
SH000111,WH05,2023-03-05,Sul,14,7,0.05,Jadlog,Entregue,0
SH000112,WH10,2023-01-31,Norte,14,3,5.82,Correios,Entregue,0
SH000113,WH07,2024-04-22,Centro-Oeste,6,3,2.87,Total Express,Entregue,0
SH000114,WH03,2023-04-12,Sudeste,14,5,5.53,Total Express,Entregue,0
SH000115,WH09,2023-10-12,Centro-Oeste,2,3,33.44,Correios,Entregue,1
SH000116,WH06,2023-08-05,Sul,12,7,11.64,Correios,Entregue,0
SH000117,WH11,2023-02-08,Sudeste,6,5,12.45,Correios,Entregue,0
SH000118,WH02,2023-02-03,Centro-Oeste,6,3,25.81,Total Express,Entregue,0
SH000119,WH05,2023-05-30,Sul,2,10,1.45,Correios,Entregue,1
SH000120,WH09,2023-02-27,Norte,6,7,1.27,Correios,Entregue,1
SH000121,WH06,2023-03-04,Norte,14,10,23.2,Jadlog,Entregue,0
SH000122,WH09,2023-07-06,Sudeste,5,5,2.08,Azul Cargo,Entregue,1
SH000123,WH01,2023-03-12,Centro-Oeste,14,10,15.89,Correios,Entregue,0
SH000124,WH11,2023-05-06,Norte,7,10,2.81,Azul Cargo,Entregue,1
SH000125,WH02,2023-01-06,Centro-Oeste,11,3,7.73,Jadlog,Entregue,0
SH000126,WH09,2023-08-25,Norte,9,7,5.84,Correios,Entregue,0
SH000127,WH09,2024-05-17,Sul,9,3,1.31,Azul Cargo,Entregue,0
SH000128,WH01,2024-03-13,Sudeste,13,7,13.35,Total Express,Entregue,0
SH000129,WH11,2023-03-11,Sudeste,8,5,23.15,Azul Cargo,Entregue,0
SH000130,WH05,2023-02-03,Nordeste,3,5,1.26,Correios,Entregue,1
SH000131,WH06,2023-06-06,Norte,13,3,5.31,Total Express,Entregue,0
SH000132,WH05,2023-09-19,Norte,5,10,0.35,Jadlog,Entregue,1
SH000133,WH11,2023-03-06,Nordeste,14,5,3.23,Azul Cargo,Em trânsito,0
SH000134,WH10,2024-01-27,Centro-Oeste,3,7,3.62,Correios,Entregue,1
SH000135,WH03,2023-11-24,Sudeste,7,7,20.39,Correios,Entregue,1
SH000136,WH06,2023-05-30,Sudeste,1,10,16.74,Total Express,Atrasado,1
SH000137,WH09,2023-04-19,Sudeste,1,5,21.37,Azul Cargo,Em trânsito,1
SH000138,WH10,2024-06-11,Sul,11,10,1.01,Total Express,Entregue,0
SH000139,WH04,2024-05-07,Centro-Oeste,10,5,1.71,Total Express,Entregue,0
SH000140,WH02,2023-11-24,Nordeste,14,7,4.35,Total Express,Entregue,0
SH000141,WH03,2023-04-24,Sudeste,11,7,16.37,Correios,Entregue,0
SH000142,WH07,2024-05-11,Norte,5,7,0.3,Total Express,Entregue,1
SH000143,WH01,2023-04-18,Norte,5,10,1.93,Correios,Entregue,1
SH000144,WH07,2023-03-01,Centro-Oeste,7,3,8.26,Azul Cargo,Em trânsito,0
SH000145,WH10,2023-10-14,Sul,9,3,0.29,Azul Cargo,Atrasado,0
SH000146,WH10,2024-01-17,Nordeste,7,3,1.31,Total Express,Entregue,0
SH000147,WH12,2023-01-25,Sudeste,7,7,4.61,Jadlog,Em trânsito,1
SH000148,WH07,2023-08-31,Nordeste,11,5,3.28,Azul Cargo,Entregue,0
SH000149,WH10,2023-11-18,Nordeste,11,10,5.37,Azul Cargo,Entregue,0
SH000150,WH10,2024-06-09,Norte,9,7,16.91,Total Express,Entregue,0
SH000151,WH06,2023-11-02,Sul,13,3,2.94,Jadlog,Em trânsito,0
SH000152,WH02,2023-03-29,Sudeste,8,3,11.8,Jadlog,Entregue,0
SH000153,WH01,2023-01-25,Norte,1,5,25.53,Total Express,Entregue,1
SH000154,WH03,2023-04-21,Norte,12,10,4.36,Total Express,Atrasado,0
SH000155,WH09,2024-06-19,Norte,14,7,0.61,Azul Cargo,Entregue,0
SH000156,WH10,2023-10-23,Norte,5,3,11.97,Azul Cargo,Em trânsito,0
SH000157,WH05,2023-09-11,Nordeste,11,7,15.13,Jadlog,Entregue,0
SH000158,WH05,2024-03-21,Sul,2,10,7.77,Azul Cargo,Entregue,1
SH000159,WH10,2024-06-01,Nordeste,10,5,6.7,Jadlog,Entregue,0
SH000160,WH10,2023-06-15,Sul,10,5,16.46,Total Express,Entregue,0
SH000161,WH04,2024-02-18,Sul,3,5,6.46,Total Express,Entregue,1
SH000162,WH04,2024-01-28,Sudeste,11,7,0.06,Jadlog,Entregue,0
SH000163,WH07,2023-08-20,Nordeste,14,7,26.47,Jadlog,Entregue,0
SH000164,WH11,2023-10-16,Centro-Oeste,2,5,3.5,Total Express,Em trânsito,1
SH000165,WH10,2023-09-03,Sul,10,7,11.25,Jadlog,Atrasado,0
SH000166,WH02,2024-01-02,Centro-Oeste,14,5,9.71,Correios,Atrasado,0
SH000167,WH07,2023-06-12,Norte,4,10,8.64,Correios,Entregue,1
SH000168,WH04,2023-04-08,Sul,1,7,3.39,Total Express,Entregue,1
SH000169,WH06,2023-04-06,Sul,6,7,16.18,Correios,Entregue,1
SH000170,WH01,2023-07-29,Nordeste,10,5,3.39,Jadlog,Entregue,0
SH000171,WH12,2024-05-24,Sul,10,5,33.56,Jadlog,Entregue,0
SH000172,WH07,2023-08-15,Centro-Oeste,14,5,9.86,Jadlog,Entregue,0
SH000173,WH03,2024-03-07,Sul,12,7,17.64,Correios,Em trânsito,0
SH000174,WH09,2023-04-23,Sudeste,8,5,16.38,Correios,Em trânsito,0
SH000175,WH05,2023-02-23,Sudeste,7,3,41.42,Total Express,Entregue,0
SH000176,WH12,2023-09-06,Nordeste,1,7,9.12,Correios,Entregue,1
SH000177,WH06,2023-02-07,Sudeste,10,7,0.68,Correios,Entregue,0
SH000178,WH10,2024-04-05,Sul,12,5,1.11,Correios,Em trânsito,0
SH000179,WH06,2023-12-01,Sudeste,5,7,5.31,Azul Cargo,Entregue,1
SH000180,WH07,2024-03-27,Norte,14,7,5.36,Correios,Em trânsito,0
SH000181,WH03,2023-11-07,Nordeste,1,7,2.94,Total Express,Entregue,1
SH000182,WH11,2023-08-18,Sul,9,3,31.21,Total Express,Entregue,0
SH000183,WH01,2024-02-19,Sudeste,13,3,7.69,Total Express,Extraviado,0
SH000184,WH01,2024-01-17,Norte,10,5,27.95,Correios,Entregue,0
SH000185,WH07,2023-10-12,Sudeste,8,7,0.68,Azul Cargo,Entregue,0
SH000186,WH11,2024-06-25,Sudeste,5,3,5.14,Correios,Entregue,0
SH000187,WH12,2023-07-30,Sudeste,10,10,5.35,Jadlog,Atrasado,1
SH000188,WH10,2023-10-05,Sul,10,5,0.46,Correios,Em trânsito,0
SH000189,WH02,2024-05-11,Nordeste,4,5,12.51,Total Express,Atrasado,1
SH000190,WH07,2024-03-12,Norte,4,10,1.84,Azul Cargo,Entregue,1
SH000191,WH12,2024-03-16,Nordeste,11,5,5.11,Correios,Em trânsito,0
SH000192,WH08,2023-05-11,Nordeste,9,10,47.59,Total Express,Em trânsito,1
SH000193,WH01,2024-06-25,Centro-Oeste,12,10,31.93,Correios,Entregue,0
SH000194,WH05,2023-01-16,Norte,1,7,3.64,Total Express,Entregue,1
SH000195,WH10,2024-05-13,Sul,10,5,4.54,Azul Cargo,Entregue,0
SH000196,WH02,2024-03-25,Sul,14,10,9.33,Total Express,Entregue,0
SH000197,WH03,2023-08-21,Centro-Oeste,12,7,4.04,Total Express,Entregue,0
SH000198,WH05,2024-02-17,Centro-Oeste,3,5,15.52,Jadlog,Entregue,1
SH000199,WH10,2023-03-11,Centro-Oeste,10,5,10.05,Correios,Entregue,0
SH000200,WH05,2023-12-24,Centro-Oeste,5,7,7.68,Jadlog,Entregue,1
SH000201,WH02,2024-06-13,Sul,4,7,37.87,Total Express,Atrasado,1
SH000202,WH04,2023-02-09,Sul,1,3,2.94,Correios,Entregue,1
SH000203,WH07,2023-05-18,Sudeste,11,10,23.47,Jadlog,Entregue,0
SH000204,WH06,2023-03-27,Nordeste,7,5,15.59,Azul Cargo,Entregue,0
SH000205,WH03,2023-10-07,Nordeste,8,7,2.7,Jadlog,Atrasado,0
SH000206,WH04,2023-01-07,Nordeste,3,5,2.45,Total Express,Entregue,1
SH000207,WH12,2024-04-25,Nordeste,7,10,10.34,Total Express,Entregue,1
SH000208,WH07,2023-05-20,Sul,3,5,1.0,Correios,Em trânsito,1
SH000209,WH11,2023-12-20,Sul,10,3,7.87,Total Express,Entregue,0
SH000210,WH01,2023-07-04,Centro-Oeste,2,10,4.94,Jadlog,Entregue,1
SH000211,WH08,2023-06-30,Sul,7,10,22.81,Jadlog,Entregue,1
SH000212,WH08,2024-06-10,Sul,12,3,10.9,Total Express,Entregue,0
SH000213,WH03,2023-07-20,Sudeste,6,10,12.27,Azul Cargo,Entregue,1
SH000214,WH06,2023-03-13,Norte,6,5,4.75,Total Express,Entregue,0
SH000215,WH11,2023-11-16,Centro-Oeste,7,7,2.93,Azul Cargo,Entregue,1
SH000216,WH02,2023-08-08,Centro-Oeste,9,10,9.24,Correios,Em trânsito,1
SH000217,WH08,2023-04-05,Sudeste,5,5,34.75,Jadlog,Entregue,1
SH000218,WH11,2023-03-04,Norte,2,5,10.85,Total Express,Entregue,1
SH000219,WH11,2024-06-02,Sul,6,7,0.23,Total Express,Entregue,1
SH000220,WH08,2023-08-22,Centro-Oeste,11,5,39.8,Jadlog,Entregue,0
SH000221,WH03,2023-07-02,Norte,3,10,21.53,Jadlog,Atrasado,1
SH000222,WH06,2023-09-06,Nordeste,9,10,25.8,Total Express,Entregue,1
SH000223,WH11,2024-05-14,Centro-Oeste,7,10,7.23,Jadlog,Entregue,1
SH000224,WH01,2023-02-22,Norte,5,7,27.19,Correios,Em trânsito,1
SH000225,WH04,2023-05-30,Nordeste,4,7,3.6,Jadlog,Entregue,1
SH000226,WH09,2023-12-25,Nordeste,4,7,19.41,Jadlog,Entregue,1
SH000227,WH07,2023-03-26,Sul,14,7,11.38,Azul Cargo,Em trânsito,0
SH000228,WH04,2024-02-09,Norte,10,3,36.59,Total Express,Atrasado,0
SH000229,WH11,2023-12-12,Centro-Oeste,5,7,4.22,Azul Cargo,Em trânsito,1
SH000230,WH03,2024-01-17,Centro-Oeste,6,7,1.58,Jadlog,Entregue,1
SH000231,WH10,2023-11-26,Norte,7,5,15.15,Jadlog,Entregue,0
SH000232,WH08,2023-12-11,Sudeste,10,7,51.29,Azul Cargo,Entregue,0
SH000233,WH12,2024-03-29,Sudeste,10,3,1.89,Azul Cargo,Entregue,0
SH000234,WH11,2024-03-21,Sul,9,5,1.29,Azul Cargo,Em trânsito,0
SH000235,WH08,2023-09-04,Sul,4,3,6.76,Total Express,Entregue,0
SH000236,WH06,2023-07-15,Sudeste,6,5,15.29,Azul Cargo,Entregue,0
SH000237,WH07,2024-06-13,Nordeste,7,3,10.89,Azul Cargo,Entregue,0
SH000238,WH02,2023-02-06,Nordeste,11,5,33.78,Jadlog,Entregue,0
SH000239,WH03,2023-09-19,Sudeste,9,5,19.88,Correios,Entregue,0
SH000240,WH04,2023-02-02,Centro-Oeste,1,7,10.2,Correios,Extraviado,1
SH000241,WH06,2023-08-27,Sudeste,8,10,5.38,Total Express,Entregue,1
SH000242,WH02,2024-02-06,Centro-Oeste,11,3,21.65,Correios,Entregue,0
SH000243,WH03,2024-02-05,Centro-Oeste,14,7,8.04,Azul Cargo,Em trânsito,0
SH000244,WH08,2023-05-12,Nordeste,6,5,24.96,Azul Cargo,Entregue,0
SH000245,WH03,2023-08-04,Nordeste,5,7,11.01,Jadlog,Extraviado,1
SH000246,WH10,2024-04-03,Nordeste,3,7,14.74,Correios,Entregue,1
SH000247,WH08,2023-08-04,Centro-Oeste,3,3,0.57,Correios,Entregue,1
SH000248,WH07,2024-01-31,Centro-Oeste,3,7,55.71,Jadlog,Entregue,1
SH000249,WH09,2023-07-15,Sul,3,3,16.86,Jadlog,Entregue,1
SH000250,WH06,2023-12-26,Sudeste,6,10,10.47,Correios,Entregue,1
SH000251,WH05,2023-10-03,Nordeste,6,7,9.12,Total Express,Entregue,1
SH000252,WH02,2024-06-01,Norte,4,5,10.98,Azul Cargo,Entregue,1
SH000253,WH11,2023-10-28,Norte,12,7,0.56,Azul Cargo,Entregue,0
SH000254,WH01,2023-03-22,Centro-Oeste,9,7,5.44,Correios,Entregue,0
SH000255,WH04,2023-12-01,Sul,9,5,1.12,Correios,Atrasado,0
SH000256,WH07,2023-10-08,Sudeste,13,7,2.31,Jadlog,Entregue,0
SH000257,WH03,2023-04-17,Centro-Oeste,11,7,4.86,Total Express,Em trânsito,0
SH000258,WH05,2023-05-22,Sudeste,13,5,13.4,Jadlog,Entregue,0
SH000259,WH08,2023-12-14,Centro-Oeste,5,7,32.02,Azul Cargo,Entregue,1
SH000260,WH02,2024-03-17,Nordeste,14,10,52.2,Total Express,Atrasado,0
SH000261,WH09,2023-12-31,Sul,7,10,16.69,Total Express,Entregue,1
SH000262,WH05,2024-02-15,Nordeste,5,7,3.76,Azul Cargo,Entregue,1
SH000263,WH05,2023-02-10,Nordeste,13,5,4.67,Jadlog,Entregue,0
SH000264,WH03,2024-03-11,Norte,4,5,4.4,Total Express,Entregue,1
SH000265,WH02,2023-06-29,Norte,3,10,21.88,Jadlog,Entregue,1
SH000266,WH09,2024-05-24,Norte,9,5,17.87,Jadlog,Entregue,0
SH000267,WH11,2024-05-23,Norte,2,5,0.78,Jadlog,Entregue,1
SH000268,WH04,2023-06-24,Centro-Oeste,8,5,8.19,Correios,Entregue,0
SH000269,WH05,2023-04-26,Centro-Oeste,4,7,12.32,Jadlog,Entregue,1
SH000270,WH03,2024-04-12,Sul,13,3,0.19,Jadlog,Entregue,0
SH000271,WH06,2023-04-29,Norte,14,10,10.81,Total Express,Entregue,0
SH000272,WH05,2023-06-11,Norte,8,5,34.04,Jadlog,Em trânsito,0
SH000273,WH03,2023-02-03,Centro-Oeste,2,7,0.58,Correios,Entregue,1
SH000274,WH10,2023-01-16,Sudeste,7,5,2.25,Jadlog,Entregue,0
SH000275,WH01,2024-03-03,Nordeste,3,10,1.31,Total Express,Entregue,1
SH000276,WH10,2023-10-18,Sul,11,3,5.53,Azul Cargo,Entregue,0
SH000277,WH11,2023-11-10,Centro-Oeste,5,5,5.54,Total Express,Entregue,1
SH000278,WH03,2023-01-30,Centro-Oeste,4,10,37.4,Jadlog,Entregue,1
SH000279,WH03,2024-02-21,Nordeste,2,10,19.34,Jadlog,Entregue,1
SH000280,WH05,2023-12-18,Sul,13,10,12.16,Azul Cargo,Entregue,0
SH000281,WH09,2024-04-06,Centro-Oeste,8,5,12.33,Total Express,Entregue,0
SH000282,WH12,2023-02-17,Norte,8,10,13.18,Correios,Entregue,1
SH000283,WH12,2023-12-06,Norte,14,3,2.25,Correios,Entregue,0
SH000284,WH04,2024-05-25,Centro-Oeste,10,7,5.25,Azul Cargo,Entregue,0
SH000285,WH12,2024-05-04,Sudeste,7,10,12.48,Jadlog,Entregue,1
SH000286,WH02,2024-04-21,Sudeste,12,7,0.41,Jadlog,Entregue,0
SH000287,WH01,2024-03-03,Sudeste,14,7,8.08,Total Express,Entregue,0
SH000288,WH12,2023-10-27,Norte,6,10,21.74,Correios,Entregue,1
SH000289,WH07,2023-06-25,Norte,8,5,9.45,Correios,Entregue,0
SH000290,WH09,2023-12-22,Nordeste,7,7,24.04,Jadlog,Entregue,1
SH000291,WH06,2023-11-07,Sudeste,14,5,16.47,Correios,Entregue,0
SH000292,WH09,2024-04-25,Nordeste,9,5,9.29,Jadlog,Em trânsito,0
SH000293,WH04,2023-08-03,Centro-Oeste,8,10,5.67,Azul Cargo,Entregue,1
SH000294,WH06,2023-07-14,Centro-Oeste,6,3,12.8,Jadlog,Entregue,0
SH000295,WH02,2023-02-12,Sul,6,3,8.26,Correios,Entregue,0
SH000296,WH11,2023-07-05,Sul,10,5,61.87,Jadlog,Em trânsito,0
SH000297,WH11,2024-03-16,Sul,11,5,11.31,Jadlog,Em trânsito,0
SH000298,WH10,2024-05-12,Sul,14,5,3.48,Jadlog,Entregue,0
SH000299,WH05,2023-01-16,Norte,2,3,39.56,Azul Cargo,Entregue,1
SH000300,WH07,2023-11-12,Nordeste,8,5,4.06,Correios,Entregue,0
SH000301,WH12,2023-02-24,Norte,6,7,26.57,Correios,Entregue,1
SH000302,WH06,2023-03-13,Centro-Oeste,2,7,8.13,Jadlog,Entregue,1
SH000303,WH01,2023-10-26,Sudeste,11,7,14.65,Azul Cargo,Em trânsito,0
SH000304,WH03,2023-09-14,Sudeste,11,5,2.7,Correios,Entregue,0
SH000305,WH05,2024-05-15,Nordeste,2,10,9.84,Jadlog,Entregue,1
SH000306,WH09,2024-01-16,Nordeste,2,5,2.69,Jadlog,Entregue,1
SH000307,WH01,2023-02-12,Centro-Oeste,2,7,3.25,Correios,Entregue,1
SH000308,WH10,2023-03-29,Norte,12,3,2.12,Jadlog,Entregue,0
SH000309,WH09,2024-04-21,Sudeste,3,7,7.16,Correios,Entregue,1
SH000310,WH01,2023-05-21,Norte,6,3,8.68,Total Express,Entregue,0
SH000311,WH12,2023-07-05,Centro-Oeste,5,5,3.66,Jadlog,Em trânsito,1
SH000312,WH02,2023-03-19,Norte,3,7,11.41,Jadlog,Entregue,1
SH000313,WH04,2023-07-21,Sudeste,7,5,3.79,Correios,Entregue,0
SH000314,WH06,2024-05-30,Centro-Oeste,4,5,8.84,Jadlog,Entregue,1
SH000315,WH01,2023-09-12,Norte,2,5,13.89,Correios,Entregue,1
SH000316,WH07,2024-05-09,Norte,14,5,0.74,Total Express,Entregue,0
SH000317,WH09,2024-04-08,Norte,10,10,23.61,Correios,Entregue,1
SH000318,WH09,2023-06-10,Norte,12,3,5.31,Correios,Entregue,0
SH000319,WH09,2023-05-21,Nordeste,1,10,8.73,Total Express,Em trânsito,1
SH000320,WH02,2023-09-21,Centro-Oeste,4,5,7.08,Total Express,Entregue,1
SH000321,WH02,2024-03-23,Centro-Oeste,8,10,35.87,Correios,Entregue,1
SH000322,WH01,2023-11-24,Norte,2,3,2.53,Total Express,Entregue,1
SH000323,WH10,2023-12-17,Norte,11,7,11.83,Azul Cargo,Entregue,0
SH000324,WH02,2024-05-18,Nordeste,3,5,21.16,Azul Cargo,Entregue,1
