transaction_id,customer_id,date,amount,category,payment_method,status
T000144,C00233,2023-11-08,171.02,Eletrônicos,Débito,Concluído
T000145,C00054,2022-01-29,73.9,Casa,Boleto,Cancelado
T000146,C00257,2023-04-12,321.34,Casa,Débito,Concluído
T000147,C00090,2022-02-04,78.6,Esporte,Crédito,Concluído
T000148,C01762,2024-01-19,480.85,Eletrônicos,Boleto,Cancelado
T000149,C01783,2022-10-21,48.9,Casa,Crédito,Cancelado
T000150,C01930,2023-08-25,114.41,Esporte,Crédito,Concluído
T000151,C01687,2022-07-22,243.37,Eletrônicos,Pix,Concluído
T000152,C01459,2024-01-10,232.43,Casa,Débito,Concluído
T000153,C01649,2022-03-09,20.31,Casa,Crédito,Concluído
T000154,C00408,2022-05-11,468.12,Moda,Boleto,Concluído
T000155,C01293,2024-05-26,227.87,Alimentação,Boleto,Concluído
T000156,C01693,2022-04-21,509.79,Eletrônicos,Boleto,Concluído
T000157,C01978,2023-06-08,505.55,Esporte,Pix,Concluído
T000158,C00366,2022-10-15,197.37,Moda,Crédito,Concluído
T000159,C01883,2023-11-18,604.17,Casa,Boleto,Concluído
T000160,C00351,2024-04-10,471.64,Esporte,Pix,Concluído
T000161,C01323,2023-10-28,793.25,Moda,Boleto,Concluído
T000162,C01930,2022-02-12,475.11,Moda,Pix,Concluído
T000163,C01183,2024-05-24,430.38,Alimentação,Débito,Concluído
T000164,C00487,2023-12-18,158.42,Moda,Crédito,Concluído
T000165,C00842,2023-11-15,59.57,Eletrônicos,Boleto,Concluído
T000166,C00984,2022-10-21,603.96,Alimentação,Pix,Concluído
T000167,C01761,2022-10-12,320.53,Alimentação,Crédito,Concluído
T000168,C01550,2024-04-02,82.73,Casa,Débito,Concluído
T000169,C01379,2023-07-18,104.26,Casa,Pix,Concluído
T000170,C00621,2023-09-19,289.65,Eletrônicos,Boleto,Concluído
T000171,C00930,2022-01-19,162.43,Esporte,Crédito,Concluído
T000172,C00401,2023-05-22,21.25,Eletrônicos,Débito,Reembolsado
T000173,C01429,2023-07-01,38.13,Alimentação,Débito,Concluído
T000174,C01120,2022-02-17,342.26,Casa,Pix,Reembolsado
T000175,C01731,2024-01-15,99.59,Eletrônicos,Débito,Concluído
T000176,C00570,2022-08-07,177.14,Casa,Boleto,Concluído
T000177,C00975,2023-09-14,363.77,Eletrônicos,Pix,Reembolsado
T000178,C00392,2024-02-05,347.75,Eletrônicos,Débito,Concluído
T000179,C00352,2022-07-07,45.68,Moda,Crédito,Concluído
T000180,C00806,2022-01-31,25.89,Eletrônicos,Boleto,Concluído
T000181,C01690,2022-09-16,223.6,Casa,Crédito,Concluído
T000182,C00576,2023-11-06,338.34,Eletrônicos,Débito,Cancelado
T000183,C01694,2022-12-10,40.35,Esporte,Boleto,Concluído
T000184,C00777,2022-11-04,116.29,Moda,Crédito,Concluído
T000185,C00633,2022-03-12,510.59,Eletrônicos,Débito,Cancelado
T000186,C01312,2022-11-03,721.6,Esporte,Boleto,Concluído
T000187,C00523,2023-07-22,151.32,Casa,Boleto,Concluído
T000188,C00726,2022-04-09,20.71,Esporte,Boleto,Reembolsado
T000189,C00162,2022-01-21,74.5,Moda,Débito,Concluído
T000190,C01641,2024-06-15,66.31,Casa,Débito,Concluído
T000191,C01938,2023-09-12,68.27,Eletrônicos,Boleto,Concluído
T000192,C00659,2023-07-19,170.25,Eletrônicos,Boleto,Concluído
T000193,C01206,2022-01-06,218.8,Esporte,Boleto,Concluído
T000194,C00850,2022-08-19,32.67,Eletrônicos,Débito,Concluído
T000195,C01573,2022-03-23,550.36,Casa,Pix,Concluído
T000196,C00082,2022-08-05,241.88,Casa,Crédito,Concluído
T000197,C00524,2022-12-01,227.36,Eletrônicos,Crédito,Concluído
T000198,C00004,2023-07-13,1091.13,Esporte,Crédito,Concluído
T000199,C00495,2024-05-13,247.31,Eletrônicos,Pix,Concluído
T000200,C01579,2024-05-23,661.13,Alimentação,Débito,Concluído
T000201,C01947,2024-01-23,84.31,Eletrônicos,Boleto,Concluído
T000202,C01075,2023-11-21,68.65,Moda,Boleto,Concluído
T000203,C01285,2023-08-17,181.69,Eletrônicos,Pix,Concluído
T000204,C01158,2024-03-09,177.63,Alimentação,Crédito,Concluído
T000205,C01997,2023-12-05,64.2,Moda,Débito,Concluído
T000206,C01623,2023-10-17,300.71,Esporte,Débito,Concluído
T000207,C01386,2024-04-05,7.52,Moda,Débito,Concluído
T000208,C00568,2024-03-01,293.3,Casa,Boleto,Concluído
T000209,C01241,2023-07-07,152.74,Alimentação,Crédito,Concluído
T000210,C00878,2023-04-04,292.0,Casa,Crédito,Concluído
T000211,C01092,2024-02-22,162.08,Casa,Pix,Concluído
T000212,C01012,2022-03-28,946.72,Moda,Crédito,Concluído
T000213,C01015,2023-05-30,101.87,Moda,Boleto,Reembolsado
T000214,C00864,2023-12-24,1012.43,Casa,Boleto,Concluído
T000215,C01580,2023-05-28,16.8,Esporte,Débito,Concluído
T000216,C01167,2023-08-10,287.81,Eletrônicos,Débito,Concluído
T000217,C01370,2023-04-23,151.38,Eletrônicos,Crédito,Concluído
T000218,C01578,2023-05-13,431.69,Alimentação,Débito,Concluído
T000219,C01675,2024-06-25,389.71,Moda,Débito,Concluído
T000220,C01609,2024-01-13,402.62,Eletrônicos,Pix,Concluído
T000221,C00779,2023-03-25,24.88,Esporte,Débito,Concluído
T000222,C01218,2023-08-11,432.01,Alimentação,Débito,Cancelado
T000223,C01005,2022-09-17,60.21,Moda,Crédito,Concluído
T000224,C01691,2023-06-21,6.5,Eletrônicos,Crédito,Concluído
T000225,C01270,2022-07-19,61.39,Casa,Débito,Concluído
T000226,C00314,2023-04-08,163.14,Esporte,Pix,Concluído
T000227,C00730,2022-04-04,338.81,Esporte,Boleto,Concluído
T000228,C01992,2022-12-18,61.68,Moda,Boleto,Concluído
T000229,C00384,2022-04-18,29.98,Esporte,Boleto,Concluído
T000230,C01789,2022-12-21,259.59,Moda,Pix,Concluído
T000231,C01813,2023-04-14,1032.2,Esporte,Débito,Concluído
T000232,C00277,2022-04-05,229.62,Eletrônicos,Boleto,Concluído
T000233,C01096,2024-05-17,293.65,Moda,Débito,Concluído
T000234,C01153,2022-04-01,205.91,Esporte,Débito,Concluído
T000235,C01382,2022-02-13,381.21,Eletrônicos,Débito,Concluído
T000236,C00698,2023-04-01,930.4,Eletrônicos,Boleto,Concluído
T000237,C01549,2023-01-19,196.39,Eletrônicos,Pix,Concluído
T000238,C01865,2022-01-23,134.8,Moda,Pix,Concluído
T000239,C01244,2023-12-03,492.14,Moda,Pix,Concluído
T000240,C01030,2022-01-23,874.39,Esporte,Pix,Concluído
T000241,C00751,2022-08-22,34.58,Casa,Débito,Concluído
T000242,C00983,2023-11-29,215.79,Casa,Boleto,Reembolsado
T000243,C00624,2022-11-07,393.11,Alimentação,Pix,Reembolsado
T000244,C00228,2023-02-21,190.54,Casa,Pix,Concluído
T000245,C01978,2022-11-29,131.57,Casa,Pix,Concluído
T000246,C00017,2023-07-29,266.22,Esporte,Crédito,Concluído
T000247,C01609,2022-04-13,78.72,Moda,Débito,Concluído
T000248,C00012,2023-05-15,107.36,Casa,Pix,Concluído
T000249,C01622,2024-04-07,1215.88,Alimentação,Débito,Cancelado
T000250,C01523,2023-04-28,252.97,Esporte,Débito,Concluído
T000251,C00692,2022-07-08,515.75,Eletrônicos,Débito,Cancelado
T000252,C01658,2024-04-27,412.26,Eletrônicos,Crédito,Cancelado
T000253,C01740,2023-04-05,264.08,Alimentação,Crédito,Concluído
T000254,C01526,2022-07-08,459.29,Moda,Pix,Concluído
T000255,C00070,2022-12-17,84.62,Eletrônicos,Débito,Concluído
T000256,C00108,2023-08-04,253.42,Moda,Crédito,Concluído
T000257,C00201,2022-04-24,223.27,Casa,Boleto,Concluído
T000258,C01076,2022-04-14,243.49,Casa,Boleto,Concluído
T000259,C01573,2023-09-12,46.17,Casa,Débito,Concluído
T000260,C00629,2023-05-23,81.17,Eletrônicos,Boleto,Concluído
T000261,C01283,2022-12-11,84.45,Eletrônicos,Pix,Reembolsado
T000262,C01506,2022-01-21,230.29,Moda,Boleto,Concluído
T000263,C01288,2023-01-22,898.82,Moda,Boleto,Concluído
T000264,C00906,2024-02-17,770.15,Alimentação,Boleto,Concluído
T000265,C00303,2024-05-04,64.43,Casa,Débito,Concluído
T000266,C00937,2022-07-28,90.91,Esporte,Crédito,Reembolsado
T000267,C00576,2023-11-13,9.18,Esporte,Boleto,Concluído
T000268,C01578,2023-04-28,127.21,Casa,Boleto,Cancelado
T000269,C00555,2023-04-18,449.96,Alimentação,Débito,Concluído
T000270,C00125,2023-12-07,618.5,Moda,Pix,Concluído
T000271,C01929,2024-05-08,67.46,Eletrônicos,Pix,Concluído
T000272,C01294,2023-01-28,77.24,Alimentação,Crédito,Concluído
T000273,C00859,2023-09-27,62.39,Alimentação,Débito,Concluído
T000274,C00745,2023-11-20,107.74,Casa,Crédito,Cancelado
T000275,C00480,2023-05-31,408.38,Moda,Boleto,Concluído
T000276,C00132,2022-07-07,260.22,Esporte,Crédito,Concluído
T000277,C01026,2022-12-12,385.38,Esporte,Crédito,Concluído
T000278,C00115,2022-12-18,218.69,Esporte,Boleto,Concluído
T000279,C00481,2023-06-25,74.51,Alimentação,Crédito,Concluído
T000280,C00981,2023-08-21,64.69,Eletrônicos,Crédito,Concluído
T000281,C01025,2022-02-16,2.26,Moda,Boleto,Concluído
T000282,C00331,2022-03-18,379.65,Eletrônicos,Boleto,Concluído
T000283,C01601,2022-12-09,469.53,Esporte,Boleto,Concluído
T000284,C00942,2022-07-10,365.56,Eletrônicos,Crédito,Concluído
T000285,C00955,2023-06-27,19.33,Alimentação,Boleto,Concluído
T000286,C01995,2024-03-29,359.1,Casa,Débito,Cancelado
T000287,C01661,2023-11-12,11.71,Eletrônicos,Crédito,Concluído
T000288,C00768,2022-02-05,27.9,Eletrônicos,Boleto,Concluído
T000289,C00391,2024-01-27,145.17,Eletrônicos,Crédito,Concluído
T000290,C00834,2023-02-28,161.64,Esporte,Débito,Concluído
T000291,C00143,2022-12-17,423.37,Eletrônicos,Boleto,Concluído
T000292,C00328,2022-07-07,284.49,Moda,Boleto,Concluído
T000293,C01782,2023-06-11,41.61,Alimentação,Pix,Concluído
T000294,C00628,2022-11-30,64.09,Moda,Débito,Concluído
T000295,C00377,2023-04-28,84.1,Moda,Débito,Concluído
T000296,C01839,2022-08-04,33.0,Esporte,Pix,Concluído
T000297,C00090,2022-06-07,84.79,Eletrônicos,Débito,Concluído
T000298,C00808,2023-10-29,326.04,Alimentação,Boleto,Concluído
T000299,C01021,2022-08-29,69.07,Alimentação,Pix,Concluído
T000300,C01066,2022-10-23,451.0,Alimentação,Crédito,Cancelado
T000301,C01971,2023-04-07,158.49,Eletrônicos,Boleto,Concluído
T000302,C01059,2022-02-14,97.5,Alimentação,Débito,Concluído
T000303,C01012,2023-05-10,132.93,Alimentação,Pix,Concluído
T000304,C01518,2022-06-24,309.04,Casa,Crédito,Concluído
T000305,C00553,2022-12-12,181.83,Casa,Pix,Concluído
T000306,C01877,2022-02-25,1.83,Alimentação,Boleto,Concluído
T000307,C00124,2023-07-20,638.8,Moda,Boleto,Cancelado
T000308,C00057,2022-12-07,17.07,Eletrônicos,Pix,Concluído
T000309,C00806,2024-02-16,697.67,Moda,Pix,Reembolsado
T000310,C01480,2024-06-04,7.14,Moda,Débito,Concluído
T000311,C00235,2024-01-21,368.49,Eletrônicos,Boleto,Cancelado
T000312,C00608,2024-04-12,191.25,Eletrônicos,Crédito,Concluído
T000313,C00392,2022-04-18,176.17,Esporte,Pix,Cancelado
T000314,C01516,2023-12-11,18.89,Esporte,Crédito,Concluído
T000315,C00970,2024-06-15,68.2,Esporte,Pix,Concluído
T000316,C01855,2022-08-02,375.76,Alimentação,Boleto,Concluído
T000317,C01367,2023-05-14,554.7,Alimentação,Pix,Concluído
T000318,C01668,2024-01-28,188.29,Alimentação,Débito,Concluído
T000319,C01200,2023-02-01,108.98,Esporte,Crédito,Concluído
T000320,C00052,2023-07-04,15.45,Eletrônicos,Pix,Reembolsado
T000321,C01574,2023-05-12,286.57,Alimentação,Boleto,Concluído
T000322,C01502,2022-06-22,81.59,Eletrônicos,Pix,Cancelado
T000323,C00489,2022-04-15,14.15,Esporte,Crédito,Concluído
T000324,C01879,2023-07-06,274.04,Eletrônicos,Boleto,Concluído
T000325,C00005,2023-04-24,166.25,Alimentação,Pix,Concluído
T000326,C01749,2023-02-03,3.01,Eletrônicos,Débito,Concluído
T000327,C00632,2023-03-10,29.39,Esporte,Débito,Cancelado
T000328,C01862,2023-10-04,300.33,Alimentação,Débito,Cancelado
T000329,C01905,2023-11-24,16.45,Alimentação,Boleto,Concluído
T000330,C01233,2022-07-13,502.41,Esporte,Pix,Concluído
T000331,C00217,2024-04-22,93.25,Moda,Boleto,Concluído
T000332,C00536,2024-03-11,23.21,Casa,Débito,Concluído
T000333,C01366,2023-04-11,356.53,Esporte,Boleto,Concluído
T000334,C01741,2022-12-07,185.81,Eletrônicos,Pix,Concluído
T000335,C01425,2022-02-28,91.55,Moda,Débito,Concluído
T000336,C01486,2024-05-12,130.26,Esporte,Boleto,Concluído
T000337,C00738,2023-06-22,5.41,Casa,Crédito,Concluído
T000338,C00730,2023-04-23,271.69,Alimentação,Débito,Concluído
T000339,C01235,2022-04-13,113.84,Casa,Crédito,Concluído
T000340,C01050,2023-06-17,312.97,Casa,Débito,Cancelado
T000341,C01276,2023-08-15,247.33,Esporte,Pix,Cancelado
T000342,C00003,2024-04-18,263.35,Alimentação,Boleto,Concluído
T000343,C01026,2023-12-12,393.63,Alimentação,Crédito,Concluído
T000344,C01628,2022-11-18,249.35,Casa,Crédito,Concluído
T000345,C01026,2023-07-03,135.63,Esporte,Boleto,Concluído
T000346,C00150,2022-01-14,123.54,Alimentação,Pix,Concluído
T000347,C01607,2023-04-01,31.84,Alimentação,Crédito,Concluído
T000348,C00004,2022-08-09,377.9,Eletrônicos,Boleto,Concluído
T000349,C01521,2024-05-25,357.94,Casa,Crédito,Concluído
T000350,C01574,2023-01-26,70.69,Moda,Pix,Concluído
T000351,C01895,2023-11-09,496.36,Casa,Crédito,Concluído
T000352,C00468,2022-06-22,222.29,Esporte,Crédito,Concluído
T000353,C00070,2023-10-24,162.85,Alimentação,Pix,Concluído
T000354,C00201,2023-11-15,4.41,Alimentação,Crédito,Concluído
T000355,C00308,2022-03-22,120.62,Eletrônicos,Boleto,Concluído
T000356,C01276,2022-12-02,255.88,Alimentação,Pix,Cancelado
T000357,C01311,2022-08-13,23.51,Alimentação,Crédito,Cancelado
T000358,C00922,2024-05-20,153.85,Moda,Pix,Concluído
T000359,C00292,2022-02-04,1256.54,Casa,Débito,Concluído
T000360,C01178,2024-05-19,315.17,Alimentação,Boleto,Concluído
T000361,C00924,2022-07-07,197.89,Esporte,Crédito,Cancelado
T000362,C01157,2022-08-12,190.37,Moda,Boleto,Concluído
T000363,C00883,2023-10-05,11.19,Moda,Crédito,Concluído
T000364,C00586,2024-06-04,788.47,Eletrônicos,Débito,Concluído
T000365,C01298,2023-05-09,658.39,Esporte,Débito,Concluído
T000366,C01807,2024-05-12,286.74,Moda,Boleto,Concluído
T000367,C01721,2022-11-07,26.07,Casa,Boleto,Concluído
T000368,C00509,2023-06-05,58.25,Esporte,Pix,Concluído
T000369,C01377,2023-08-04,50.81,Casa,Crédito,Concluído
T000370,C00005,2023-06-24,183.27,Eletrônicos,Crédito,Concluído
T000371,C00293,2024-06-29,58.24,Eletrônicos,Boleto,Concluído
T000372,C00360,2023-01-04,297.52,Alimentação,Pix,Cancelado
T000373,C01622,2023-04-20,196.99,Casa,Débito,Concluído
T000374,C00214,2024-01-16,4.45,Casa,Crédito,Cancelado
T000375,C01430,2022-01-31,340.7,Eletrônicos,Débito,Concluído
T000376,C01460,2024-04-06,52.32,Casa,Pix,Concluído
T000377,C01039,2022-08-20,435.58,Esporte,Crédito,Concluído
T000378,C01297,2024-04-29,109.64,Alimentação,Pix,Concluído
T000379,C00563,2023-05-12,103.36,Alimentação,Pix,Concluído
T000380,C00765,2023-07-20,2.97,Esporte,Crédito,Concluído
T000381,C00045,2022-06-24,1100.13,Moda,Débito,Concluído
T000382,C00703,2022-10-25,236.69,Casa,Débito,Concluído
T000383,C00634,2024-03-01,137.36,Moda,Pix,Concluído
T000384,C01436,2022-12-31,25.4,Moda,Boleto,Concluído
T000385,C01211,2022-03-27,300.28,Casa,Pix,Reembolsado
T000386,C01750,2023-07-31,83.08,Eletrônicos,Débito,Concluído
T000387,C00661,2022-03-30,1111.63,Casa,Pix,Concluído
T000388,C01194,2022-02-23,751.68,Eletrônicos,Pix,Concluído
T000389,C00721,2023-09-22,332.29,Esporte,Crédito,Concluído
T000390,C01989,2022-12-27,885.74,Eletrônicos,Pix,Concluído
T000391,C00594,2023-04-21,27.91,Moda,Boleto,Concluído
T000392,C01425,2022-08-17,82.1,Moda,Boleto,Concluído
T000393,C01732,2024-02-18,73.0,Moda,Boleto,Concluído
T000394,C00246,2024-04-10,18.68,Eletrônicos,Boleto,Concluído
T000395,C01927,2023-06-18,895.92,Moda,Pix,Reembolsado
T000396,C00857,2024-01-29,15.46,Alimentação,Boleto,Concluído
T000397,C01893,2023-01-08,485.68,Casa,Boleto,Concluído
T000398,C00552,2023-04-14,365.43,Moda,Crédito,Concluído
T000399,C01704,2023-02-24,117.85,Eletrônicos,Débito,Concluído
T000400,C00043,2024-04-05,4.75,Moda,Crédito,Concluído
T000401,C00841,2023-06-16,1.53,Eletrônicos,Boleto,Concluído
T000402,C01747,2023-02-04,57.04,Casa,Débito,Concluído
T000403,C00179,2022-07-03,170.24,Eletrônicos,Crédito,Concluído
T000404,C01481,2024-05-10,153.08,Casa,Pix,Concluído
T000405,C00535,2023-07-16,220.05,Moda,Débito,Concluído
T000406,C00607,2022-03-31,369.56,Alimentação,Crédito,Concluído
T000407,C00672,2023-09-08,118.44,Moda,Crédito,Concluído
T000408,C01268,2023-12-07,43.7,Casa,Boleto,Concluído
